COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
22373,22,Tréogan,107,0.0,0,0.0,33.8,0.0,0,0,0.0,17,32,17,66,25
22375,22,Tressignaux,682,0.0,0,0.0,20.3,0.0,0,0,0.0,33,32,17,66,21
22376,22,Trévé,1680,0.0,0,7.0,0.0,0.0,0,0,0.0,38,32,17,66,23
22377,22,Tréveneuc,813,0.0,0,4.0,15.9,0.0,0,0,0.0,37,32,17,66,24
22378,22,Trévérec,224,0.0,0,0.0,20.2,0.0,0,0,0.0,26,32,17,66,21
22379,22,Trévou-Tréguignec,1581,0.0,0,4.0,19.9,0.0,0,0,0.0,40,32,17,66,26
22380,22,Trévron,681,0.0,0,6.0,26.6,0.0,0,0,0.0,32,32,17,66,31
22381,22,Trézény,355,0.0,0,0.0,19.9,0.0,0,0,0.0,27,32,17,66,20
22383,22,Troguéry,219,0.0,0,3.0,19.9,0.0,0,0,0.0,17,32,17,66,24
22384,22,Uzel,1134,0.0,0,8.0,0.0,0.0,0,0,0.0,37,32,17,66,24
22385,22,La Vicomté-sur-Rance,1142,0.0,0,5.0,26.6,0.0,0,0,0.0,34,32,17,66,29
22386,22,Le Vieux-Bourg,760,0.0,0,3.0,15.9,0.0,0,0,0.0,29,32,17,66,23
22387,22,Le Vieux-Marché,1276,0.0,0,2.0,19.9,0.0,0,0,0.0,35,32,17,66,23
22388,22,Vildé-Guingalan,1294,0.0,0,4.0,26.6,0.0,0,0,0.0,41,32,17,66,28
22389,22,Yffiniac,4980,0.0,0,9.0,63.8,0.0,0,0,0.0,63,32,17,66,48
22390,22,Yvias,770,0.0,0,3.0,17.9,0.0,0,0,0.0,39,32,17,66,24
22391,22,Yvignac-la-Tour,1106,0.0,0,3.0,26.6,0.0,0,0,0.0,36,32,17,66,27
23001,23,Ahun,1442,0.0,0,15.0,31.4,0.0,0,0,0.0,46,29,12,49,39
23002,23,Ajain,1028,0.0,0,6.0,16.3,0.0,0,0,0.0,43,29,12,49,21
23003,23,Alleyrat,141,0.0,0,0.0,37.8,0.0,0,0,0.0,33,29,12,49,21
23004,23,Anzême,549,0.0,0,3.0,16.3,0.0,0,0,0.0,38,29,12,49,17
23005,23,Arfeuille-Châtain,196,0.0,0,0.0,13.1,0.0,0,0,0.0,28,29,12,49,12
23006,23,Arrènes,205,0.0,0,0.0,5.5,0.0,0,0,0.0,30,29,12,49,10
23007,23,Ars,236,0.0,0,0.0,31.4,0.0,0,0,0.0,22,29,12,49,19
23008,23,Aubusson,3036,0.0,0,27.0,73.8,0.0,0,0,0.0,77,29,12,49,69
23009,23,Auge,92,0.0,0,0.0,15.0,0.0,0,0,0.0,14,29,12,49,13
23010,23,Augères,117,0.0,0,0.0,5.5,0.0,0,0,0.0,28,29,12,49,10
23011,23,Aulon,163,0.0,0,0.0,5.5,0.0,0,0,0.0,25,29,12,49,10
23012,23,Auriat,116,0.0,0,0.0,31.4,0.0,0,0,0.0,16,29,12,49,19
23013,23,Auzances,1153,0.0,0,16.0,13.1,0.0,0,0,0.0,49,29,12,49,33
23014,23,Azat-Châtenet,116,0.0,0,0.0,5.5,0.0,0,0,0.0,6,29,12,49,10
23015,23,Azerables,803,0.0,0,5.0,18.9,0.0,0,0,0.0,34,29,12,49,21
23016,23,Banize,181,0.0,0,0.0,31.4,0.0,0,0,0.0,24,29,12,49,19
23017,23,Basville,167,0.0,0,0.0,13.1,0.0,0,0,0.0,25,29,12,49,12
23018,23,Bazelat,229,0.0,0,0.0,18.9,0.0,0,0,0.0,29,29,12,49,14
23019,23,Beissat,30,0.0,0,0.0,13.7,0.0,0,0,0.0,2,29,12,49,12
23020,23,Bellegarde-en-Marche,357,0.0,0,8.0,13.1,0.0,0,0,0.0,33,29,12,49,23
23021,23,Bénévent-l'Abbaye,767,0.0,0,16.0,5.5,0.0,0,0,0.0,206,29,12,49,31
23022,23,Bétête,386,0.0,0,8.0,15.0,0.0,0,0,0.0,36,29,12,49,24
23023,23,Blaudeix,110,0.0,0,0.0,0.0,0.0,0,0,0.0,21,29,12,49,8
23024,23,Blessac,532,0.0,0,0.0,37.8,0.0,0,0,0.0,35,29,12,49,21
23025,23,Bonnat,1354,0.0,0,5.0,2.7,0.0,0,0,0.0,45,29,12,49,15
23026,23,Bord-Saint-Georges,371,0.0,0,3.0,15.0,0.0,0,0,0.0,35,29,12,49,17
23027,23,Bosmoreau-les-Mines,226,0.0,0,0.0,31.4,0.0,0,0,0.0,30,29,12,49,19
23028,23,Bosroger,117,0.0,0,0.0,13.1,0.0,0,0,0.0,24,29,12,49,12
23029,23,Le Bourg-d'Hem,233,0.0,0,0.0,29.9,0.0,0,0,0.0,24,29,12,49,18
23030,23,Bourganeuf,2408,0.0,0,25.0,90.2,0.0,0,2,83.06,52,29,677,49,72
23031,23,Boussac,1239,0.0,0,26.0,15.0,0.0,0,0,0.0,53,29,12,49,47
23032,23,Boussac-Bourg,687,0.0,0,0.0,15.0,0.0,0,0,0.0,36,29,12,49,13
23033,23,La Brionne,452,0.0,0,2.0,16.3,0.0,0,0,0.0,39,29,12,49,16
23034,23,Brousse,31,0.0,0,0.0,13.1,0.0,0,0,0.0,8,29,12,49,12
23035,23,Budelière,713,0.0,0,10.0,15.0,0.0,0,0,0.0,39,29,12,49,26
23036,23,Bussière-Dunoise,1045,0.0,0,3.0,16.3,0.0,0,0,0.0,42,29,12,49,17
23037,23,Bussière-Nouvelle,75,0.0,0,0.0,13.1,0.0,0,0,0.0,16,29,12,49,12
23038,23,Bussière-Saint-Georges,259,0.0,0,5.0,15.0,0.0,0,0,0.0,28,29,12,49,20
23039,23,La Celle-Dunoise,532,0.0,0,5.0,29.9,0.0,0,0,0.0,40,29,12,49,25
23040,23,La Celle-sous-Gouzon,159,0.0,0,0.0,15.0,0.0,0,0,0.0,32,29,12,49,13
23041,23,La Cellette,251,0.0,0,0.0,2.7,0.0,0,0,0.0,30,29,12,49,9
23042,23,Ceyroux,125,0.0,0,0.0,5.5,0.0,0,0,0.0,10,29,12,49,10
23043,23,Chamberaud,97,0.0,0,0.0,31.4,0.0,0,0,0.0,9,29,12,49,19
23044,23,Chambon-Sainte-Croix,86,0.0,0,0.0,29.8,0.0,0,0,0.0,20,29,12,49,18
23045,23,Chambon-sur-Voueize,827,0.0,0,13.0,15.0,0.0,0,0,0.0,41,29,12,49,30
23046,23,Chambonchard,79,0.0,0,0.0,15.0,0.0,0,0,0.0,22,29,12,49,13
23047,23,Chamborand,243,0.0,0,5.0,5.5,0.0,0,0,0.0,32,29,12,49,16
23048,23,Champagnat,480,0.0,0,1.0,13.1,0.0,0,0,0.0,35,29,12,49,14
23049,23,Champsanglard,255,0.0,0,0.0,2.7,0.0,0,0,0.0,28,29,12,49,9
23050,23,La Chapelle-Baloue,118,0.0,0,0.0,39.6,0.0,0,0,0.0,15,29,12,49,22
23051,23,La Chapelle-Saint-Martial,77,0.0,0,0.0,31.4,0.0,0,0,0.0,28,29,12,49,19
